Player,country,Nation,Squad,Age,Weekly Wages,Annual Wages,Year,
Alex Roldan,sv,SLV,Seattle Sounders FC,21,"$1,048 ","$54,500 ",2018,
Felix Chenkam,cm,CMR,Seattle Sounders FC,19,"$1,048 ","$54,500 ",2018,
Handwalla Bwana,so,SOM,Seattle Sounders FC,20,"$1,048 ","$54,500 ",2018,
Nouhou Tolo,cm,CMR,Seattle Sounders FC,20,"$1,048 ","$54,500 ",2018,
Dan Bedoya,co,COL,New York City FC,23,"$1,048 ","$54,500 ",2018,
James Sands,us,USA,New York City FC,17,"$1,048 ","$54,500 ",2018,
Jefferson Caldwell,us,USA,New York City FC,21,"$1,048 ","$54,500 ",2018,
Joe Scally,us,USA,New York City FC,15,"$1,048 ","$54,500 ",2018,
Brian White,us,USA,New York Red Bulls,21,"$1,048 ","$54,500 ",2018,
Ethan Kutler,us,USA,New York Red Bulls,22,"$1,048 ","$54,500 ",2018,
Kevin Politz,us,USA,New York Red Bulls,21,"$1,048 ","$54,500 ",2018,
Kyle Duncan,us,USA,New York Red Bulls,20,"$1,048 ","$54,500 ",2018,
Josh Perez,,,LAFC,20,"$1,048 ","$54,500 ",2018,
Shaft Brewer,us,USA,LAFC,18,"$1,048 ","$54,500 ",2018,
Steeve Saint Duc,,,LAFC,18,"$1,048 ","$54,500 ",2018,
Carter Manley,us,USA,Minnesota United,21,"$1,048 ","$54,500 ",2018,
Wyatt Omsberg,us,USA,Minnesota United,22,"$1,048 ","$54,500 ",2018,
David Norman Jr.,ca,CAN,Vancouver Whitecaps,19,"$1,048 ","$54,500 ",2018,
Michael Baldisimo,ca,CAN,Vancouver Whitecaps,17,"$1,048 ","$54,500 ",2018,
Myer Bevan,nz,NZL,Vancouver Whitecaps,20,"$1,048 ","$54,500 ",2018,
Sean Melvin,ca,CAN,Vancouver Whitecaps,23,"$1,048 ","$54,500 ",2018,
Simon Colyn,ca,CAN,Vancouver Whitecaps,15,"$1,048 ","$54,500 ",2018,
Daniel Musovski,us,USA,San Jose Earthquakes,21,"$1,048 ","$54,500 ",2018,
Jacob Akanyirige,us,USA,San Jose Earthquakes,15,"$1,048 ","$54,500 ",2018,
Kevin Partida,us,USA,San Jose Earthquakes,22,"$1,048 ","$54,500 ",2018,
Mohamed Thiaw,us,USA,San Jose Earthquakes,22,"$1,048 ","$54,500 ",2018,
Paul Marie,fr,FRA,San Jose Earthquakes,22,"$1,048 ","$54,500 ",2018,
Foster Langsdorf,us,USA,Portland Timbers,22,"$1,048 ","$54,500 ",2018,
Modou Jadama,us,USA,Portland Timbers,23,"$1,048 ","$54,500 ",2018,
Victor Arboleda,co,COL,Portland Timbers,21,"$1,048 ","$54,500 ",2018,
Justin Vom Steeg,us,USA,LA Galaxy,20,"$1,048 ","$54,500 ",2018,
Diego Campos,cr,CRC,Chicago Fire,22,"$1,048 ","$54,500 ",2018,
Elliot Collier,nz,NZL,Chicago Fire,22,"$1,048 ","$54,500 ",2018,
James Pantemis,ca,CAN,Montreal Impact,20,"$1,048 ","$54,500 ",2018,
Jason Beaulieu,ca,CAN,Montreal Impact,23,"$1,048 ","$54,500 ",2018,
Ken Krolicki,us,USA,Montreal Impact,21,"$1,048 ","$54,500 ",2018,
Louis Béland-Goyette,ca,CAN,Montreal Impact,22,"$1,048 ","$54,500 ",2018,
Mathieu Choiniere,ca,CAN,Montreal Impact,18,"$1,048 ","$54,500 ",2018,
Thomas Meilleur-Giguère,ca,CAN,Montreal Impact,19,"$1,048 ","$54,500 ",2018,
Chris Wehan,us,USA,San Jose Earthquakes,24,"$1,048 ","$54,492 ",2018,
Kaká,br,BRA,Orlando City SC,34,"$128,077 ","$6,660,000 ",2017,
Michael Bradley,us,USA,Toronto FC,29,"$115,385 ","$6,000,000 ",2017,
David Villa,es,ESP,New York City FC,35,"$107,885 ","$5,610,000 ",2017,
Sebastian Giovinco,it,ITA,Toronto FC,30,"$107,692 ","$5,600,000 ",2017,
Andrea Pirlo,it,ITA,New York City FC,37,"$107,692 ","$5,600,000 ",2017,
Bastian Schweinsteiger,de,GER,Chicago Fire,32,"$103,846 ","$5,400,000 ",2017,
Jozy Altidore,us,USA,Toronto FC,27,"$93,750 ","$4,875,000 ",2017,
Giovani dos Santos,mx,MEX,LA Galaxy,27,"$72,115 ","$3,750,000 ",2017,
Clint Dempsey,us,USA,Seattle Sounders FC,33,"$61,538 ","$3,200,000 ",2017,
Diego Valeri,ar,ARG,Portland Timbers,30,"$42,837 ","$2,227,500 ",2017,
Tim Howard,us,USA,Colorado Rapids,37,"$38,462 ","$2,000,000 ",2017,
Maximiliano Moralez,ar,ARG,New York City FC,29,"$38,462 ","$2,000,000 ",2017,
Jonathan dos Santos,mx,MEX,LA Galaxy,26,"$38,462 ","$2,000,000 ",2017,
Miguel Almirón,py,PAR,Atlanta United,22,"$36,779 ","$1,912,500 ",2017,
Yura Movsisyan,am,ARM,Real Salt Lake,29,"$33,654 ","$1,750,000 ",2017,
Nemanja Nikolić,hu,HUN,Chicago Fire,29,"$32,692 ","$1,700,000 ",2017,
Romain Alessandrini,fr,FRA,LA Galaxy,27,"$32,104 ","$1,669,401 ",2017,
Shkëlzen Gashi,al,ALB,Colorado Rapids,28,"$30,288 ","$1,575,000 ",2017,
Bradley Wright-Phillips,eng,ENG,New York Red Bulls,31,"$28,846 ","$1,500,000 ",2017,
Fredy Montero,co,COL,Vancouver Whitecaps,29,"$26,923 ","$1,400,000 ",2017,
Nicolás Lodeiro,uy,URU,Seattle Sounders FC,27,"$26,374 ","$1,371,429 ",2017,
Vako,ge,GEO,San Jose Earthquakes,24,"$25,481 ","$1,325,004 ",2017,
Fanendo Adi,ng,NGA,Portland Timbers,26,"$22,885 ","$1,190,004 ",2017,
Alejandro Bedoya,us,USA,Philadelphia Union,29,"$21,750 ","$1,131,000 ",2017,
Osvaldo Alonso,cu,CUB,Seattle Sounders FC,31,"$21,154 ","$1,100,000 ",2017,
Federico Higuaín,ar,ARG,Columbus Crew,32,"$20,192 ","$1,050,000 ",2017,
Sebastián Blanco,ar,ARG,Portland Timbers,28,"$19,231 ","$1,000,008 ",2017,
Kevin Doyle,ie,IRL,Colorado Rapids,33,"$19,231 ","$1,000,000 ",2017,
Víctor Rodríguez,es,ESP,Seattle Sounders FC,27,"$19,231 ","$1,000,000 ",2017,
Josef Martínez,ve,VEN,Atlanta United,23,"$17,769 ","$924,000 ",2017,
Roger Espinoza,hn,HON,Sporting Kansas City,30,"$16,346 ","$850,000 ",2017,
Xavier Kouassi,ci,CIV,New England Revolution,27,"$16,154 ","$840,000 ",2017,
Albert Rusnák,sk,SVK,Real Salt Lake,22,"$15,865 ","$825,000 ",2017,
Kei Kamara,sl,SLE,New England Revolution,32,"$15,385 ","$800,000 ",2017,
Antonio Nocerino,it,ITA,Orlando City SC,31,"$15,385 ","$800,000 ",2017,
Chris Wondolowski,us,USA,San Jose Earthquakes,34,"$15,385 ","$800,000 ",2017,
Simon Dawkins,jm,JAM,San Jose Earthquakes,29,"$15,385 ","$800,000 ",2017,
Lucas Melano,ar,ARG,Portland Timbers,23,"$15,192 ","$790,000 ",2017,
Mauro Díaz,ar,ARG,FC Dallas,25,"$15,077 ","$784,000 ",2017,
Claude Dielna,gp,GLP,New England Revolution,29,"$15,000 ","$780,000 ",2017,
Mix Diskerud,us,USA,New York City FC,25,"$14,859 ","$772,669 ",2017,
Maurice Edu,us,USA,Philadelphia Union,30,"$14,423 ","$750,000 ",2017,
Jonathan Mensah,gh,GHA,Columbus Crew,26,"$14,423 ","$750,000 ",2017,
Kyle Beckerman,us,USA,Real Salt Lake,34,"$14,423 ","$750,000 ",2017,
David Accam,gh,GHA,Chicago Fire,26,"$14,423 ","$750,000 ",2017,
Blerim Džemaili,ch,SUI,Montreal Impact,30,"$14,423 ","$750,000 ",2017,
Giles Barnes,jm,JAM,Orlando City SC,28,"$13,942 ","$725,000 ",2017,
Graham Zusi,us,USA,Sporting Kansas City,30,"$13,942 ","$725,000 ",2017,
Matt Besler,us,USA,Sporting Kansas City,29,"$13,942 ","$725,000 ",2017,
Matías Laba,ar,ARG,Vancouver Whitecaps,25,"$13,942 ","$725,000 ",2017,
Vitor Junior,br,BRA,Chicago Fire,28,"$13,462 ","$700,008 ",2017,
Matteo Mancosu,it,ITA,Montreal Impact,32,"$13,462 ","$700,000 ",2017,
Pedro Santos,pt,POR,Columbus Crew,28,"$13,154 ","$684,000 ",2017,
Carlos Carmona,cl,CHI,Atlanta United,29,"$12,981 ","$675,000 ",2017,
Marcelo Silva,uy,URU,Real Salt Lake,27,"$12,981 ","$675,000 ",2017,
Héctor Villalba,py,PAR,Atlanta United,22,"$12,750 ","$663,000 ",2017,
Erick Torres,mx,MEX,Houston Dynamo,24,"$12,500 ","$650,000 ",2017,
Sacha Kljestan,us,USA,New York Red Bulls,31,"$12,500 ","$650,000 ",2017,
Víctor Vázquez,es,ESP,Toronto FC,30,"$12,115 ","$630,000 ",2017,
Roland Lamah,be,BEL,FC Dallas,29,"$12,115 ","$630,000 ",2017,
Laurent Ciman,be,BEL,Montreal Impact,31,"$12,115 ","$630,000 ",2017,
Brek Shea,us,USA,Vancouver Whitecaps,26,"$12,019 ","$625,000 ",2017,
Liam Ridgewell,eng,ENG,Portland Timbers,32,"$11,827 ","$615,000 ",2017,
Benjamin Angoua,ci,CIV,New England Revolution,30,"$11,538 ","$600,000 ",2017,
Benny Feilhaber,us,USA,Sporting Kansas City,32,"$11,538 ","$600,000 ",2017,
Jermaine Jones,us,USA,LA Galaxy,35,"$11,538 ","$600,000 ",2017,
Michaël Ciani,fr,FRA,LA Galaxy,32,"$11,538 ","$600,000 ",2017,
Gastón Sauro,ar,ARG,Columbus Crew,26,"$11,250 ","$585,000 ",2017,
Gyasi Zardes,us,USA,LA Galaxy,25,"$11,106 ","$577,500 ",2017,
Gerso Fernandes,gw,GNB,Sporting Kansas City,25,"$10,577 ","$550,008 ",2017,
Vadim Demidov,no,NOR,Minnesota United,30,"$10,577 ","$550,008 ",2017,
Dom Dwyer,us,USA,Orlando City SC,26,"$10,577 ","$550,000 ",2017,
Darlington Nagbe,us,USA,Portland Timbers,26,"$10,577 ","$550,000 ",2017,
Jonathan Spector,us,USA,Orlando City SC,30,"$10,577 ","$549,996 ",2017,
Yoshimar Yotún,pe,PER,Orlando City SC,26,"$10,577 ","$549,996 ",2017,
Krisztián Németh,hu,HUN,New England Revolution,28,"$10,523 ","$547,200 ",2017,
Chris McCann,ie,IRL,Atlanta United,29,"$10,385 ","$540,000 ",2017,
Johan Kappelhof,nl,NED,Chicago Fire,26,"$10,192 ","$530,000 ",2017,
Lee Nguyen,us,USA,New England Revolution,30,"$9,615 ","$500,000 ",2017,
Luciano Acosta,ar,ARG,DC United,22,"$9,615 ","$500,000 ",2017,
Gonzalo Verón,ar,ARG,New York Red Bulls,27,"$9,615 ","$500,000 ",2017,
Diego Chará,co,COL,Portland Timbers,30,"$9,615 ","$500,000 ",2017,
Michael de Leeuw,nl,NED,Chicago Fire,30,"$9,615 ","$500,000 ",2017,
Carlos Gruezo,ec,ECU,FC Dallas,21,"$9,519 ","$495,000 ",2017,
Juan Agudelo,us,USA,New England Revolution,24,"$9,135 ","$475,000 ",2017,
Steve Birnbaum,us,USA,DC United,26,"$9,135 ","$474,996 ",2017,
Jahmir Hyka,al,ALB,San Jose Earthquakes,28,"$9,039 ","$470,004 ",2017,
Ilsinho,br,BRA,Philadelphia Union,31,"$9,038 ","$470,000 ",2017,
Jay Simpson,eng,ENG,Philadelphia Union,28,"$8,942 ","$465,000 ",2017,
Haris Medunjanin,ba,BIH,Philadelphia Union,31,"$8,846 ","$460,008 ",2017,
Ola Kamara,no,NOR,Columbus Crew,27,"$8,654 ","$450,000 ",2017,
Aurélien Collin,fr,FRA,New York Red Bulls,30,"$8,654 ","$450,000 ",2017,
Daniel Royer,at,AUT,New York Red Bulls,26,"$8,654 ","$450,000 ",2017,
Florian Jungwirth,de,GER,San Jose Earthquakes,28,"$8,654 ","$450,000 ",2017,
Joao Plata,ec,ECU,Real Salt Lake,24,"$8,654 ","$450,000 ",2017,
Nick Rimando,us,USA,Real Salt Lake,37,"$8,654 ","$450,000 ",2017,
Ignacio Piatti,ar,ARG,Montreal Impact,31,"$8,654 ","$450,000 ",2017,
Yordy Reyna,pe,PER,Vancouver Whitecaps,23,"$8,462 ","$440,000 ",2017,
Román Torres,pa,PAN,Seattle Sounders FC,30,"$8,327 ","$433,000 ",2017,
Larrys Mabiala,cd,COD,Portland Timbers,29,"$8,301 ","$431,667 ",2017,
Luis Robles,us,USA,New York Red Bulls,32,"$8,269 ","$430,000 ",2017,
Danny Hoesen,nl,NED,San Jose Earthquakes,26,"$8,173 ","$425,004 ",2017,
Stefan Aigner,de,GER,Colorado Rapids,29,"$8,173 ","$425,000 ",2017,
Alberth Elis,hn,HON,Houston Dynamo,20,"$8,135 ","$423,000 ",2017,
Will Johnson,ca,CAN,Orlando City SC,30,"$7,962 ","$414,000 ",2017,
Antonio Delamea Mlinar,si,SVN,New England Revolution,25,"$7,692 ","$400,008 ",2017,
Chris Pontius,us,USA,Philadelphia Union,29,"$7,692 ","$400,000 ",2017,
Dax McCarty,us,USA,Chicago Fire,29,"$7,692 ","$400,000 ",2017,
Matt Hedges,us,USA,FC Dallas,26,"$7,692 ","$399,996 ",2017,
Kenwyne Jones,tt,TRI,Atlanta United,32,"$7,500 ","$390,000 ",2017,
Felipe,br,BRA,New York Red Bulls,26,"$7,404 ","$385,000 ",2017,
Kelvin Leerdam,sr,SUR,Seattle Sounders FC,26,"$7,320 ","$380,640 ",2017,
Carlos Rivas,co,COL,Orlando City SC,22,"$7,212 ","$375,000 ",2017,
Marcelo Sarvas,br,BRA,DC United,35,"$6,923 ","$360,000 ",2017,
David Ousted,dk,DEN,Vancouver Whitecaps,31,"$6,923 ","$360,000 ",2017,
Jefferson Savarino,ve,VEN,Real Salt Lake,20,"$6,779 ","$352,500 ",2017,
Cristian Techera,uy,URU,Vancouver Whitecaps,24,"$6,769 ","$352,000 ",2017,
Christian Ramirez,us,USA,Minnesota United,25,"$6,731 ","$350,004 ",2017,
Kevin Molino,tt,TRI,Minnesota United,26,"$6,731 ","$350,004 ",2017,
Bill Hamid,us,USA,DC United,26,"$6,731 ","$350,000 ",2017,
Chad Marshall,us,USA,Seattle Sounders FC,32,"$6,731 ","$350,000 ",2017,
Maxime Chanot,lu,LUX,New York City FC,27,"$6,731 ","$350,000 ",2017,
Kendall Waston,cr,CRC,Vancouver Whitecaps,29,"$6,731 ","$350,000 ",2017,
Ashley Cole,eng,ENG,LA Galaxy,36,"$6,731 ","$350,000 ",2017,
Roland Alberg,sr,SUR,Philadelphia Union,26,"$6,635 ","$345,000 ",2017,
Brad Guzan,us,USA,Atlanta United,32,"$6,539 ","$340,008 ",2017,
Alexander Ring,fi,FIN,New York City FC,25,"$6,538 ","$340,000 ",2017,
Paul Arriola,us,USA,DC United,21,"$6,462 ","$336,000 ",2017,
Ricardo Clark,us,USA,Houston Dynamo,33,"$6,445 ","$335,160 ",2017,
Dominic Oduro,gh,GHA,Montreal Impact,31,"$6,346 ","$330,000 ",2017,
Michael Parkhurst,us,USA,Atlanta United,33,"$6,250 ","$325,008 ",2017,
Will Bruin,us,USA,Seattle Sounders FC,27,"$6,250 ","$325,000 ",2017,
Jack McInerney,us,USA,LA Galaxy,24,"$6,250 ","$325,000 ",2017,
Deian Boldor,ro,ROU,Montreal Impact,21,"$6,231 ","$324,000 ",2017,
Maynor Figueroa,hn,HON,FC Dallas,33,"$6,154 ","$320,000 ",2017,
DaMarcus Beasley,us,USA,Houston Dynamo,34,"$6,077 ","$316,008 ",2017,
Tomás Martínez,ar,ARG,Houston Dynamo,21,"$6,058 ","$315,000 ",2017,
Cristian Colmán,py,PAR,FC Dallas,22,"$5,769 ","$300,000 ",2017,
Javier Morales,ar,ARG,FC Dallas,37,"$5,769 ","$300,000 ",2017,
Maximiliano Urruti,ar,ARG,FC Dallas,25,"$5,769 ","$300,000 ",2017,
Bismark Adjei-Boateng,gh,GHA,Colorado Rapids,22,"$5,769 ","$300,000 ",2017,
C.J. Sapong,us,USA,Philadelphia Union,28,"$5,769 ","$300,000 ",2017,
Ilie Sánchez,es,ESP,Sporting Kansas City,26,"$5,769 ","$300,000 ",2017,
Justin Meram,iq,IRQ,Columbus Crew,28,"$5,769 ","$300,000 ",2017,
Wil Trapp,us,USA,Columbus Crew,24,"$5,769 ","$300,000 ",2017,
Brad Evans,us,USA,Seattle Sounders FC,31,"$5,769 ","$300,000 ",2017,
Francisco Calvo,cr,CRC,Minnesota United,24,"$5,769 ","$300,000 ",2017,
Sam Cronin,us,USA,Minnesota United,30,"$5,769 ","$300,000 ",2017,
Darren Mattocks,jm,JAM,Portland Timbers,26,"$5,769 ","$300,000 ",2017,
Dillon Powers,us,USA,Orlando City SC,25,"$5,673 ","$295,000 ",2017,
Miguel Ibarra,us,USA,Minnesota United,26,"$5,577 ","$290,004 ",2017,
Ethan Finlay,us,USA,Minnesota United,26,"$5,577 ","$290,000 ",2017,
Hernán Bernardello,ar,ARG,Montreal Impact,30,"$5,538 ","$288,000 ",2017,
Harrison Afful,gh,GHA,Columbus Crew,30,"$5,385 ","$280,000 ",2017,
Frederic Brilliant,,,New York City FC,32,"$5,385 ","$280,000 ",2017,
Marco Ureña,cr,CRC,San Jose Earthquakes,26,"$5,289 ","$275,004 ",2017,
Chris Rolfe,us,USA,DC United,33,"$5,288 ","$275,000 ",2017,
Tony Tchani,cm,CMR,Vancouver Whitecaps,27,"$5,288 ","$275,000 ",2017,
Luis Solignac,ar,ARG,Chicago Fire,25,"$5,288 ","$275,000 ",2017,
Chris Mavinga,cd,COD,Toronto FC,25,"$5,096 ","$265,008 ",2017,
Deshorn Brown,jm,JAM,DC United,26,"$5,096 ","$264,996 ",2017,
Kellyn Acosta,us,USA,FC Dallas,21,"$5,000 ","$260,000 ",2017,
Bobby Boswell,us,USA,Atlanta United,33,"$5,000 ","$260,000 ",2017,
Víctor Cabrera,ar,ARG,Montreal Impact,23,"$5,000 ","$260,000 ",2017,
Sean Franklin,us,USA,DC United,31,"$4,976 ","$258,756 ",2017,
Quincy Amarikwa,us,USA,San Jose Earthquakes,29,"$4,933 ","$256,500 ",2017,
Nick DeLeon,us,USA,DC United,26,"$4,904 ","$255,000 ",2017,
Hassoun Camara,sn,SEN,Montreal Impact,32,"$4,904 ","$255,000 ",2017,
Leandro González Pirez,ar,ARG,Atlanta United,24,"$4,808 ","$250,008 ",2017,
A.J. DeLaGarza,gu,GUM,Houston Dynamo,29,"$4,808 ","$250,000 ",2017,
Steven Beitashour,ir,IRN,Toronto FC,29,"$4,808 ","$250,000 ",2017,
Aníbal Chalá,ec,ECU,FC Dallas,20,"$4,808 ","$250,000 ",2017,
Stefan Frei,ch,SUI,Seattle Sounders FC,30,"$4,808 ","$250,000 ",2017,
Jefferson Mena,co,COL,New York City FC,27,"$4,808 ","$250,000 ",2017,
Christian Bolaños,cr,CRC,Vancouver Whitecaps,32,"$4,808 ","$250,000 ",2017,
Harold Cummings,pa,PAN,San Jose Earthquakes,24,"$4,808 ","$249,996 ",2017,
Drew Moor,us,USA,Toronto FC,33,"$4,745 ","$246,750 ",2017,
Marvell Wynne,us,USA,San Jose Earthquakes,30,"$4,727 ","$245,808 ",2017,
Andrés Romero,ar,ARG,Montreal Impact,27,"$4,712 ","$245,000 ",2017,
Juan David Cabezas,co,COL,Houston Dynamo,25,"$4,673 ","$243,000 ",2017,
Lloyd Sam,gh,GHA,DC United,32,"$4,615 ","$240,000 ",2017,
Scott Sutter,ch,SUI,Orlando City SC,30,"$4,615 ","$240,000 ",2017,
Sunday Stephen,ng,NGA,Real Salt Lake,29,"$4,615 ","$240,000 ",2017,
Jorge Bava,uy,URU,Chicago Fire,35,"$4,615 ","$240,000 ",2017,
Sam Nicholson,sct,SCO,Minnesota United,22,"$4,519 ","$235,008 ",2017,
Patrick Nyarko,gh,GHA,DC United,31,"$4,519 ","$235,000 ",2017,
Collen Warner,us,USA,Minnesota United,28,"$4,423 ","$230,004 ",2017,
Gideon Baah,gh,GHA,New York Red Bulls,24,"$4,423 ","$230,000 ",2017,
Sebastian Lletget,us,USA,LA Galaxy,24,"$4,423 ","$230,000 ",2017,
John Goossens,nl,NED,Chicago Fire,28,"$4,423 ","$230,000 ",2017,
Aníbal Godoy,pa,PAN,San Jose Earthquakes,26,"$4,423 ","$229,992 ",2017,
Waylon Francis,cr,CRC,Columbus Crew,26,"$4,375 ","$227,500 ",2017,
Boniek García,hn,HON,Houston Dynamo,32,"$4,327 ","$225,000 ",2017,
Philippe Senderos,ch,SUI,Houston Dynamo,31,"$4,327 ","$225,000 ",2017,
Jordan Morris,us,USA,Seattle Sounders FC,22,"$4,327 ","$225,000 ",2017,
Michael Boxall,nz,NZL,Minnesota United,28,"$4,327 ","$225,000 ",2017,
Víctor Bernárdez,hn,HON,San Jose Earthquakes,34,"$4,327 ","$225,000 ",2017,
Robbie Rogers,us,USA,LA Galaxy,29,"$4,327 ","$225,000 ",2017,
Justen Glad,us,USA,Real Salt Lake,19,"$4,327 ","$225,000 ",2017,
Vytas Andriuškevičius,lt,LTU,Portland Timbers,26,"$4,279 ","$222,500 ",2017,
Sean Johnson,us,USA,New York City FC,27,"$4,231 ","$220,008 ",2017,
Rodney Wallace,cr,CRC,New York City FC,28,"$4,231 ","$220,000 ",2017,
Tony Beltran,us,USA,Real Salt Lake,29,"$4,231 ","$220,000 ",2017,
José Aja,uy,URU,Orlando City SC,23,"$4,154 ","$216,000 ",2017,
Pele van Anholt,nl,NED,LA Galaxy,25,"$4,154 ","$216,000 ",2017,
Mauro Manotas,co,COL,Houston Dynamo,21,"$4,149 ","$215,746 ",2017,
Teal Bunbury,us,USA,New England Revolution,26,"$4,135 ","$215,000 ",2017,
Johan Venegas,cr,CRC,Minnesota United,28,"$4,135 ","$215,000 ",2017,
Andrew Wenger,us,USA,Houston Dynamo,26,"$4,038 ","$210,000 ",2017,
Justin Morrow,us,USA,Toronto FC,29,"$4,038 ","$210,000 ",2017,
Marky Delgado,us,USA,Toronto FC,21,"$4,038 ","$210,000 ",2017,
Walker Zimmerman,us,USA,FC Dallas,23,"$3,942 ","$205,000 ",2017,
Diego Rubio,cl,CHI,Sporting Kansas City,23,"$3,885 ","$202,000 ",2017,
Muhamed Keita,no,NOR,New York Red Bulls,26,"$3,846 ","$200,012 ",2017,
Adolfo Machado,pa,PAN,Houston Dynamo,31,"$3,846 ","$200,004 ",2017,
Romell Quioto,hn,HON,Houston Dynamo,25,"$3,846 ","$200,004 ",2017,
Clint Irwin,us,USA,Toronto FC,27,"$3,846 ","$200,004 ",2017,
Ibson,br,BRA,Minnesota United,33,"$3,846 ","$200,004 ",2017,
Rasmus Schüller,fi,FIN,Minnesota United,25,"$3,846 ","$200,004 ",2017,
Luis Silva,mx,MEX,Real Salt Lake,28,"$3,846 ","$200,004 ",2017,
Hernán Grana,ar,ARG,FC Dallas,31,"$3,846 ","$200,000 ",2017,
Michael Barrios,co,COL,FC Dallas,25,"$3,846 ","$200,000 ",2017,
Soni Mustivar,ht,HAI,Sporting Kansas City,26,"$3,846 ","$200,000 ",2017,
Lamar Neagle,us,USA,Seattle Sounders FC,29,"$3,846 ","$200,000 ",2017,
Darwin Cerén,sv,SLV,San Jose Earthquakes,27,"$3,846 ","$200,000 ",2017,
Jonathan Osorio,ca,CAN,Toronto FC,24,"$3,688 ","$191,763 ",2017,
Eric Alexander,us,USA,Houston Dynamo,28,"$3,654 ","$190,000 ",2017,
David Bingham,us,USA,San Jose Earthquakes,27,"$3,654 ","$190,000 ",2017,
Armando Cooper,pa,PAN,Toronto FC,29,"$3,635 ","$189,000 ",2017,
Mike Grella,us,USA,New York Red Bulls,30,"$3,577 ","$186,000 ",2017,
David Guzmán,cr,CRC,Portland Timbers,26,"$3,558 ","$185,004 ",2017,
Tyler Deric,us,USA,Houston Dynamo,28,"$3,558 ","$185,000 ",2017,
Thomas McNamara,us,USA,New York City FC,25,"$3,558 ","$185,000 ",2017,
Shea Salinas,us,USA,San Jose Earthquakes,30,"$3,558 ","$185,000 ",2017,
Tyrone Mears,jm,JAM,Atlanta United,33,"$3,534 ","$183,756 ",2017,
Andrew Farrell,us,USA,New England Revolution,24,"$3,512 ","$182,600 ",2017,
Tosaint Ricketts,ca,CAN,Toronto FC,29,"$3,462 ","$180,000 ",2017,
Alan Gordon,us,USA,Colorado Rapids,35,"$3,462 ","$180,000 ",2017,
Cristian Lobato,es,ESP,Sporting Kansas City,27,"$3,462 ","$180,000 ",2017,
Alexander Callens,pe,PER,New York City FC,24,"$3,462 ","$180,000 ",2017,
Jordan Harvey,us,USA,Vancouver Whitecaps,33,"$3,462 ","$180,000 ",2017,
Jordan Allen,us,USA,Real Salt Lake,21,"$3,423 ","$178,000 ",2017,
Jeff Larentowicz,us,USA,Atlanta United,33,"$3,366 ","$175,008 ",2017,
Josh Gatt,us,USA,Colorado Rapids,25,"$3,366 ","$175,008 ",2017,
Damien Perrinelle,fr,FRA,New York Red Bulls,33,"$3,366 ","$175,008 ",2017,
Rónald Matarrita,cr,CRC,New York City FC,22,"$3,365 ","$175,000 ",2017,
Dilly Duka,us,USA,New York Red Bulls,27,"$3,365 ","$175,000 ",2017,
David Edgar,ca,CAN,Vancouver Whitecaps,29,"$3,365 ","$175,000 ",2017,
Sheanon Williams,us,USA,Vancouver Whitecaps,26,"$3,365 ","$175,000 ",2017,
Baggio Husidić,ba,BIH,LA Galaxy,29,"$3,365 ","$175,000 ",2017,
Luke Mulholland,eng,ENG,Real Salt Lake,28,"$3,317 ","$172,500 ",2017,
Jérôme Thiesson,ch,SUI,Minnesota United,29,"$3,288 ","$171,000 ",2017,
Alex,br,BRA,Houston Dynamo,28,"$3,269 ","$170,000 ",2017,
Gustav Svensson,se,SWE,Seattle Sounders FC,29,"$3,269 ","$170,000 ",2017,
Jacob Peterson,us,USA,Atlanta United,31,"$3,179 ","$165,300 ",2017,
Kelyn Rowe,us,USA,New England Revolution,25,"$3,173 ","$165,000 ",2017,
Ray Gaddis,us,USA,Philadelphia Union,27,"$3,173 ","$165,000 ",2017,
Joe Bendik,us,USA,Orlando City SC,27,"$3,173 ","$165,000 ",2017,
Tim Melia,us,USA,Sporting Kansas City,30,"$3,173 ","$165,000 ",2017,
Mohammed Abu,gh,GHA,Columbus Crew,25,"$3,173 ","$165,000 ",2017,
Aaron Maund,tt,TRI,Vancouver Whitecaps,26,"$3,173 ","$165,000 ",2017,
Patrice Bernier,ca,CAN,Montreal Impact,37,"$3,173 ","$165,000 ",2017,
Diego Fagúndez,uy,URU,New England Revolution,21,"$3,077 ","$160,000 ",2017,
Mohammed Saeid,er,ERI,Colorado Rapids,26,"$3,077 ","$160,000 ",2017,
Fabinho,br,BRA,Philadelphia Union,31,"$3,072 ","$159,759 ",2017,
David Arshakyan,am,ARM,Chicago Fire,22,"$3,000 ","$156,000 ",2017,
Atiba Harris,kn,SKN,FC Dallas,32,"$2,981 ","$155,004 ",2017,
Demar Phillips,jm,JAM,Real Salt Lake,33,"$2,981 ","$155,004 ",2017,
Bobby Shuttleworth,us,USA,Minnesota United,29,"$2,981 ","$155,000 ",2017,
Chris Seitz,us,USA,FC Dallas,29,"$2,942 ","$153,000 ",2017,
Victor Ulloa,us,USA,FC Dallas,24,"$2,885 ","$150,000 ",2017,
Greg Garza,us,USA,Atlanta United,25,"$2,885 ","$150,000 ",2017,
Kevin Kratz,de,GER,Atlanta United,30,"$2,885 ","$150,000 ",2017,
Yamil Asad,ar,ARG,Atlanta United,22,"$2,885 ","$150,000 ",2017,
